"User Onboarding","Onboarding de Usuário",module,Rsilva_UserOnboarding
"Create Onboarding","Criar Onboarding",module,Rsilva_UserOnboarding
"Name","Nome",module,Rsilva_UserOnboarding
"Action","Ações",module,Rsilva_UserOnboarding
"Select","Selecione",module,Rsilva_UserOnboarding
"Edit","Editar",module,Rsilva_UserOnboarding
"Back","Voltar",module,Rsilva_UserOnboarding
"Delete","Deletar",module,Rsilva_UserOnboarding
"Save","Salvar",module,Rsilva_UserOnboarding
"Saved successfully","Salvo com sucesso",module,Rsilva_UserOnboarding
"Page Url","Url da Página",module,Rsilva_UserOnboarding
"Enable","Habilitar",module,Rsilva_UserOnboarding
"Yes","Sim",module,Rsilva_UserOnboarding
"No","Não",module,Rsilva_UserOnboarding
"Created Steps","Etapas Criadas",module,Rsilva_UserOnboarding
"Edit onboarding","Editar onboarding",module,Rsilva_UserOnboarding
"Inspect","Inspecionar",module,Rsilva_UserOnboarding
"Inspecting","Inspecionando",module,Rsilva_UserOnboarding
"Preview","Visualizar",module,Rsilva_UserOnboarding
"Steps","Etapas",module,Rsilva_UserOnboarding
"This is a preview of your Onboarding","Este é um preview do seu Onboarding",module,Rsilva_UserOnboarding
"Exit Preview","Sair da Visualização",module,Rsilva_UserOnboarding
"Add new step","Adicionar nova etapa",module,Rsilva_UserOnboarding
